Delta,K,p_location,trials,fail_total,fer,ci_low,ci_high,fer_per_round,per_round_ci_low,per_round_ci_high,logical_fail,syndrome_fail,exception_fail,truth_missing_terminal,truth_present_but_not_selected,bad_ranking,mean_decode_s,mean_transition_evals,mean_post_states_per_decoder,mean_post_states_total,mean_post_states_x,mean_post_states_z,matrix_rows,matrix_cols,logical_rows,noisy_rounds,result_dir,plot_group,plot_x,plot_y,decoder,mean_work,work_metric,mean_decode_ms,source,source_decoder
2.0,4096,0.002,100000,13660,0.1366,0.13448542596559704,0.1387424926846283,0.02418233887799426,0.023784428260978485,0.024586332223650587,7586,6074,0,7586,0,0,0.004740115248837828,18034.84308,2.124635,4.24927,2.11582,2.13345,252,2232,12,6,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/delta_2,FrontierFast Delta sweep,2.124635,0.1366,,,,,,
3.0,4096,0.002,100000,2920,0.0292,0.02817441952822166,0.030261750258586538,0.004926956721979514,0.004751829926756823,0.00510842232446862,2389,531,0,2385,4,4,0.005045471608575317,18913.93786,2.90861,5.81722,2.95208,2.86514,252,2232,12,6,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/delta_3,FrontierFast Delta sweep,2.90861,0.0292,,,,,,
4.0,4096,0.002,100000,766,0.00766,0.007138219972808822,0.008219604650889448,0.0012807605393130306,0.0011932573280447611,0.0013746496125551788,687,79,0,649,38,38,0.004956591383702471,20371.16854,4.177455,8.35491,4.25649,4.09842,252,2232,12,6,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/delta_4,FrontierFast Delta sweep,4.177455,0.00766,,,,,,
5.0,4096,0.002,100000,459,0.00459,0.004189662805153759,0.005028397675055771,0.0007664671797802391,0.0006994992418827284,0.0008398275818737311,441,18,0,366,75,75,0.004715392015540419,22396.60544,5.180055,10.36011,5.23984,5.12027,252,2232,12,6,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/delta_5,FrontierFast Delta sweep,5.180055,0.00459,,,,,,
6.0,4096,0.002,100000,350,0.0035,0.003152549152308208,0.0038855950684867514,0.0005841858518417231,0.0005261163695681192,0.000648650136296558,346,4,0,227,119,119,0.004973429160162632,25582.3129,6.633215,13.26643,6.71532,6.55111,252,2232,12,6,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/delta_6,FrontierFast Delta sweep,6.633215,0.0035,,,,,,
7.0,4096,0.002,100000,282,0.00282,0.0025098806080205817,0.0031683158546074904,0.0004705532036159976,0.0004187515721806312,0.000528751094172164,282,0,0,153,129,129,0.005607386219132022,31612.18084,9.04297,18.08594,9.1713,8.91464,252,2232,12,6,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/delta_7,FrontierFast Delta sweep,9.04297,0.00282,,,,,,
8.0,4096,0.002,100000,229,0.00229,0.002012251437979833,0.0026059857425475767,0.00038203135074665884,0.00033565677731894894,0.00043480331798972927,229,0,0,74,155,155,0.00652247408646188,40287.34988,13.110755,26.22151,13.35304,12.86847,252,2232,12,6,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/delta_8,FrontierFast Delta sweep,13.110755,0.00229,,,,,,
9.0,4096,0.002,100000,213,0.00213,0.0018627483949989903,0.0024355010777244463,0.00035531547322609214,0.0003106993010186798,0.0004063293816500835,213,0,0,46,167,167,0.008296440938447922,55165.32618,19.728315,39.45663,20.24382,19.21281,252,2232,12,6,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/delta_9,FrontierFast Delta sweep,19.728315,0.00213,,,,,,
10.0,4096,0.002,100000,215,0.00215,0.001881415168101118,0.0024568327680978145,0.00035865476268859275,0.00031381529178597933,0.00040989192701135213,215,0,0,23,192,192,0.009769327814277202,77902.83042,27.910595,55.82119,28.95995,26.86124,252,2232,12,6,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/delta_10,FrontierFast Delta sweep,27.910595,0.00215,,,,,,
,,,100000,228,0.00228,0.0020028965155116647,0.0025953414332779965,0.00038036150380704736,0.00033409501033454525,0.00043302541249712334,228,0,0,,,,,,,,,,,,,,,Tesseract short beam,,0.00228,Tesseract short beam,,,18.478170015666254,better-beam:results/20260531_bb72_tesseract_long_beam_samecorpus_strong_bfs_seed20260531_v1/p0p002_s100000/tesseract_combined/summary_by_scope.csv,Tesseract long beam strong_bfs
,,,100000,313,0.00313,0.002802357321437317,0.003495815325060953,0.0005223483111763683,0.00046760585095717566,0.0005834863664774259,313,0,0,,,,,,,,,,,,,,,IonQ strong beam search (beam64 640iters),,0.00313,IonQ strong beam search (beam64 640iters),7.66508,mean beam min-sum iterations per side decode,1.640479082593083,better-beam:results/20260531_bb72_dem_delta_sweep_p002_k4096_s100000_seed20260531_v1/ionq_strong_beamsearch/shards,IonQ strong beam search (beam64 640iters)
