Delta,K,p_location,source_trials,scan_trials,avg_retained_list_size,mean_peak_retained_list_size,fail_total,fer,empty_terminal_frontier,logical_support_loss,terminal_ranking_failure,syndrome_fail,truth_missing_terminal,bad_ranking,empty_terminal_frontier_rate,logical_support_loss_rate,terminal_ranking_failure_rate,no_path_rate,truth_missing_rate,bad_ranking_rate,logical_fail,exception_fail,scan_result_dir
1.0,8192,0.002,20000,5000,1.0060405657947402,2.1098999999999997,15988,0.7994,15720,268,0,15720,268,0,0.786,0.0134,0.0,0.786,0.0134,0.0,268,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_1
2.0,8192,0.002,20000,5000,1.0853663406612915,3.6327,11445,0.57225,10948,497,0,10948,497,0,0.5474,0.02485,0.0,0.5474,0.02485,0.0,497,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_2
3.0,8192,0.002,20000,5000,1.1568761611473977,5.0494,2822,0.1411,2561,261,0,2561,261,0,0.12805,0.01305,0.0,0.12805,0.01305,0.0,261,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_3
4.0,8192,0.002,20000,5000,1.327941770408618,7.623,511,0.02555,445,66,0,445,66,0,0.02225,0.0033,0.0,0.02225,0.0033,0.0,66,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_4
5.0,8192,0.002,20000,5000,1.6021328792077367,10.4205,198,0.0099,160,38,0,160,38,0,0.008,0.0019,0.0,0.008,0.0019,0.0,38,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_5
6.0,8192,0.002,50000,5000,1.9976986900720404,14.55238,223,0.00446,176,46,1,176,46,1,0.00352,0.00092,2e-05,0.00352,0.00092,2e-05,47,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_6
7.0,8192,0.002,50000,5000,2.8051008000323936,22.067259999999997,94,0.00188,65,29,0,65,29,0,0.0013,0.00058,0.0,0.0013,0.00058,0.0,29,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_7
8.0,8192,0.002,50000,5000,4.260843225924591,37.19225,32,0.00064,19,12,1,19,12,1,0.00038,0.00024,2e-05,0.00038,0.00024,2e-05,13,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_8
9.0,8192,0.002,100000,5000,6.490541545441879,58.09865,20,0.0002,7,13,0,7,13,0,7e-05,0.00013,0.0,7e-05,0.00013,0.0,13,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_9
10.0,8192,0.002,150000,5000,9.686444931547996,88.96788666666666,11,7.333333333333333e-05,6,3,2,6,3,2,4e-05,2e-05,1.3333333333333333e-05,4e-05,2e-05,1.3333333333333333e-05,5,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_10
11.0,8192,0.002,250000,5000,13.685865664845172,136.652396,14,5.6e-05,1,10,3,1,10,3,4e-06,4e-05,1.2e-05,4e-06,4e-05,1.2e-05,13,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_11
12.0,8192,0.002,500000,5000,20.656298622495445,218.287562,21,4.2e-05,2,9,10,2,9,10,4e-06,1.8e-05,2e-05,4e-06,1.8e-05,2e-05,19,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_12
13.0,16384,0.002,500000,5000,33.08665374544626,356.74672499999997,16,3.2e-05,1,7,8,1,7,8,2e-06,1.4e-05,1.6e-05,2e-06,1.4e-05,1.6e-05,15,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_13
14.0,8192,0.002,500000,5000,54.4717871129326,557.627708,11,2.2e-05,1,4,6,1,4,6,2e-06,8e-06,1.2e-05,2e-06,8e-06,1.2e-05,10,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_14
15.0,16384,0.002,500000,5000,89.38503739754098,896.527966,7,1.4e-05,0,1,6,0,1,6,0.0,2e-06,1.2e-05,0.0,2e-06,1.2e-05,7,0,better-beam:results/20260617_bb144_p002_avg_retained_axis_v1/scans/delta_15
