decoder,p_location,fail_total,trials,fer,fer_low95,fer_high95,fer_per_round,fer_per_round_low95,fer_per_round_high95,config,status,source,matrix,source_decoder,decoder_label
FrontierFast,0.002,11,1000000,1.1e-05,6.142447654735242e-06,1.9698911897440297e-05,9.166712882091588e-07,5.118720789454301e-07,1.641590812839766e-06,"adaptive: start K=1024, Delta=10; cap K=65536, Delta=22",complete adaptive 1M full-frame row,results/20260530_bb144_p002_adaptive_frontierfast_k1024d10_1m_v1/analysis/summary_by_scope.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,FrontierFast / PCDP,FrontierFast
FrontierFast,0.003,24,100000,0.00024,0.00016129191248332846,0.0003571027618056714,2.0002200337376763e-05,1.3441986440931863e-05,2.9763435241858538e-05,"native_binary, K=8192, Delta=16, score_alpha=0.8",complete long replay,results/20260526_bb144_p003_delta16_full_replay_v1/analysis/comparison_table.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,FrontierFast / PCDP,FrontierFast
FrontierFast,0.004,684,200000,0.00342,0.0031735026182984163,0.0036855729315236918,0.00028544771606220376,0.00026484399402992853,0.0003076511147955818,"native_binary, K=32768, Delta=14, score_alpha=0.8",complete long replay,results/20260526_bb144_p004_delta14_k32768_s200k_seed20260524_v1/analysis/comparison_summary.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,FrontierFast / PCDP,FrontierFast
FrontierFast,0.005,140,5000,0.028,0.023777044258476123,0.03294766637765781,0.002363824632785727,0.002003347315432946,0.0027879950883679117,"native_binary, K=8192, Delta=12, score_alpha=0.8",lower-stat p-sweep row,results/20260523_circuit_level_fer_psweep_adaptive_v1/derived_plots/bb144_table_numbers_all_rows.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,FrontierFast / PCDP,FrontierFast
IonQ strong beam search (beam64 640iters),0.002,29,500000,5.8e-05,4.038560884328944e-05,8.329635855972955e-05,4.833461824227392e-06,3.3655297002610496e-06,6.94162823133837e-06,IonQ strong BS,cap,results/20260523_circuit_level_fer_psweep_adaptive_v1/derived_plots/bb144_table_numbers_all_rows.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,Strong beam search,IonQ strong beam search (beam64 640iters)
IonQ strong beam search (beam64 640iters),0.003,91,100000,0.00091,0.0007413108199594236,0.0011170323807587151,7.586498055367485e-05,6.179690105068136e-05,9.313372332009351e-05,IonQ strong BS,partial,results/20260523_circuit_level_fer_psweep_adaptive_v1/derived_plots/bb144_table_numbers_all_rows.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,Strong beam search,IonQ strong beam search (beam64 640iters)
IonQ strong beam search (beam64 640iters),0.004,100,10000,0.01,0.008229336148148417,0.012146982255114645,0.0008371773591205889,0.0006883782970376062,0.0010179282063912387,IonQ strong BS,partial,results/20260523_circuit_level_fer_psweep_adaptive_v1/derived_plots/bb144_table_numbers_all_rows.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,Strong beam search,IonQ strong beam search (beam64 640iters)
IonQ strong beam search (beam64 640iters),0.005,301,5000,0.0602,0.05393858446385878,0.06713668616701347,0.005160653860485254,0.004609990452824397,0.005774644825668029,IonQ strong BS,partial,results/20260523_circuit_level_fer_psweep_adaptive_v1/derived_plots/bb144_table_numbers_all_rows.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,Strong beam search,IonQ strong beam search (beam64 640iters)
Tesseract short beam,0.002,7,500000,1.4e-05,6.781743657209368e-06,2.890089983736769e-05,1.1666741528415514e-06,5.651470613710075e-07,2.408440222700925e-06,Tesseract weak,cap,results/20260523_circuit_level_fer_psweep_adaptive_v1/derived_plots/bb144_table_numbers_all_rows.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,Tesseract weak,Tesseract short beam
Tesseract short beam,0.003,33,100000,0.00033,0.00023499865680451132,0.0004633891031242235,2.7504160252100895e-05,1.9585330981231053e-05,3.862396249509903e-05,Tesseract weak,partial,results/20260523_circuit_level_fer_psweep_adaptive_v1/derived_plots/bb144_table_numbers_all_rows.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,Tesseract weak,Tesseract short beam
Tesseract short beam,0.004,114,25000,0.00456,0.0037975623353982556,0.005474671261288008,0.0003807965214901454,0.0003170156884780839,0.00045737139007151484,Tesseract weak,partial,results/20260523_circuit_level_fer_psweep_adaptive_v1/derived_plots/bb144_table_numbers_all_rows.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,Tesseract weak,Tesseract short beam
Tesseract short beam,0.005,194,5000,0.0388,0.033791558410704255,0.04451656986341645,0.0032922997164843704,0.0028605416652300875,0.0037876301824923964,Tesseract weak,partial,results/20260523_circuit_level_fer_psweep_adaptive_v1/derived_plots/bb144_table_numbers_all_rows.csv,accepted public BB144/Gross split-sector DEM; D_X=D_Z=936x8784; O_X=O_Z=12x8784; 12 rounds,Tesseract weak,Tesseract short beam
